zip5,latitude,longitude,county_name
48041,42.941,-82.8046,St. Clair
48302,42.5848,-83.2821,Oakland
48431,,,
48548,,,
48809,43.0885,-85.2313,Ionia
48838,43.1793,-85.2497,Montcalm
49036,41.9255,-85.0057,Branch
49301,42.9566,-85.481,Kent
49302,42.8243,-85.4256,Kent
49306,43.075,-85.5632,Kent
49315,42.8016,-85.7136,Kent
49316,42.8187,-85.5244,Kent
49319,43.2215,-85.5452,Kent
49321,43.0578,-85.6845,Kent
49326,43.2239,-85.3159,Montcalm
49330,43.2362,-85.7399,Kent
49331,42.955,-85.3653,Kent
49341,43.1152,-85.5136,Kent
49343,43.2981,-85.5367,Kent
49345,43.1619,-85.6877,Kent
49503,42.9659,-85.6527,Kent
49504,42.9737,-85.7265,Kent
49505,43.012,-85.6309,Kent
49506,42.944,-85.6213,Kent
49507,42.9318,-85.6542,Kent
49508,42.8894,-85.6219,Kent
49512,42.8802,-85.5352,Kent
49525,43.0135,-85.6027,Kent
49534,43.0141,-85.7543,Ottawa
49544,43.0073,-85.7255,Kent
49546,42.928,-85.5483,Kent
