collection_method,attractant_used,collection_location_id,uid_arbovirus_submission,nearest_street_address,city,state,county,collection_site_type,trap_set_date,trap_set_time_of_day,trap_pickup_date,trap_pickup_time_of_day,trap_set_year,trap_set_month,season,genus,species,species_binomial,females_collected,males_collected,adults_unknown_sex_collected,total_adults_collected,detected_raw,detected_normalized,missing_taxon,staff_person,notes
BGS Trap,Lure,Blandford Nature Center,21-081-0002,1715 Hillburn Ave. NW,Grand Rapids,MI,Kent,Nature Center,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Culex,sp.,Culex sp.,2,0,0,2,ND,not_detected,False,Barbara Brown,
BGS Trap,Lure,KCRC South,,4949 Tim Dougherty Dr. SE,Cascade,MI,Kent,Business,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,,,,0,1,0,1,,,True,Barbara Brown,No Females Found
BGS Trap,Lure,Private Home,21-081-0001,39 Valley Ave. NW,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Culex,sp.,Culex sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0005,39 Valley Ave. NW,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Culex,sp.,Culex sp.,2,0,0,2,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0006,39 Valley Ave. NW,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Aedes,sp.,Aedes sp.,3,0,0,3,ND,not_detected,False,Barbara Brown,
BGS Trap,Lure,Private Home,21-081-0008,7245  Equine Lane,Caledonia,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Culex,sp.,Culex sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
BGS Trap,Lure,Private Home,21-081-0009,7245  Equine Lane,Caledonia,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Anopheles,sp.,Anopheles sp.,21,0,0,21,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0010,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Anopheles,sp.,Anopheles sp.,3,0,0,3,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0011,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Aedes,sp.,Aedes sp.,10,0,0,10,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0012,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Culex,sp.,Culex sp.,6,0,0,6,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0014,39 Valley Ave. NW,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Anopheles,sp.,Anopheles sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0015,1638 Diamond Ct. NE,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Culex,sp.,Culex sp.,2,0,0,2,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0016,4409 Willow Dr. NE,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Culex,sp.,Culex sp.,7,0,0,7,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,,2707 Albert Dr. SE,East Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,463 N. Kippen Dr. SE,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,4270 Hunsberger Ave. NE,Grand Rapids,MI,Kent,Residential,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
BGS Trap,Lure,Tiremaxx,21-081-0007,8035 Division Ave. S,Grand Rapids,MI,Kent,Business,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Culex,sp.,Culex sp.,2,0,0,2,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 2,21-081-0003,4101 Lake Michigan Dr. NW,Grand Rapids,MI,Kent,Business,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Culex,sp.,Culex sp.,11,0,0,11,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 2,21-081-0004,4101 Lake Michigan Dr. NW,Grand Rapids,MI,Kent,Business,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Aedes,sp.,Aedes sp.,3,0,0,3,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 3,21-081-0013,1470 3 Mile Rd. NW,Grand Rapids,MI,Kent,Business,2021-05-24,Morning,2021-05-26,Morning,2021,5,spring,Culex,sp.,Culex sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
BGS Trap,Lure & Dry Ice,Blandford Nature Center,21-081-0022,1715 Hillburn Ave. NW,Grand Rapids,MI,Kent,Nature Center,2021-06-01,Morning,2021-06-03,Morning,2021,6,summer,Culex,sp.,Culex sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
BGS Trap,Lure & Dry Ice,KCRC South,,4949 Tim Dougherty Dr. SE,Cascade,MI,Kent,Business,2021-06-01,Morning,2021-06-03,Afternoon,2021,6,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0017,4409 Willow Dr. NE,Grand Rapids,MI,Kent,Residential,2021-06-01,Morning,2021-06-03,Morning,2021,6,summer,Culex,sp.,Culex sp.,6,0,0,6,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0018,4409 Willow Dr. NE,Grand Rapids,MI,Kent,Residential,2021-06-01,Morning,2021-06-03,Morning,2021,6,summer,Aedes,sp.,Aedes sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
BGS Trap,Lure & Dry Ice,Private Home,21-081-0023,7245  Equine Lane,Caledonia,MI,Kent,Residential,2021-06-01,Morning,2021-06-03,Afternoon,2021,6,summer,Aedes,sp.,Aedes sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,,1638 Diamond Ct. NE,Grand Rapids,MI,Kent,Residential,2021-06-01,Morning,2021-06-03,Morning,2021,6,summer,,,,0,1,0,1,,,True,Barbara Brown,No Females Found
Gravid Trap,Hay or Grass Infusion,Private Home,,2707 Albert Dr. SE,East Grand Rapids,MI,Kent,Residential,2021-06-01,Morning,2021-06-03,Afternoon,2021,6,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-06-01,Morning,2021-06-03,Afternoon,2021,6,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-06-01,Morning,2021-06-03,Afternoon,2021,6,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,463 N. Kippen Dr. SE,Grand Rapids,MI,Kent,Residential,2021-06-01,Morning,2021-06-03,Afternoon,2021,6,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
